ci95_high,ci95_low,group,mean_delta,metric,module_added,module_step,p_two_sided,paired_sample_count
0.000000,0.000000,pentatonic_balanced,0.000000,psr,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,strong_beat_stable_rate,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,cadence_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,qualified_rhythm_rate,motif fallback,A4 minus A3,1.000000,1500
0.070947,0.060684,pentatonic_balanced,0.065672,objective_score,style constraint,A5 minus A4,0.000000,1500
0.087972,0.075230,pentatonic_balanced,0.081668,cpr,style constraint,A5 minus A4,0.000000,1500
0.402000,0.336000,pentatonic_balanced,0.369333,longest_repeat_run,style constraint,A5 minus A4,0.000000,1500
-0.158181,-0.186719,pentatonic_balanced,-0.172447,repetition_score,style constraint,A5 minus A4,0.000000,1500
0.020204,0.013864,pentatonic_balanced,0.017017,duration_match_ratio,style constraint,A5 minus A4,0.000000,1500
-0.112605,-0.150905,pentatonic_balanced,-0.132247,duration_error_sec,style constraint,A5 minus A4,0.000000,1500
0.479054,0.450822,pentatonic_balanced,0.464966,psr,style constraint,A5 minus A4,0.000000,1500
0.309350,0.262613,pentatonic_balanced,0.286877,strong_beat_stable_rate,style constraint,A5 minus A4,0.000000,1500
0.366970,0.324598,pentatonic_balanced,0.345533,cadence_score,style constraint,A5 minus A4,0.000000,1500
0.034498,0.024384,pentatonic_balanced,0.029542,qualified_rhythm_rate,style constraint,A5 minus A4,0.000000,1500
0.034078,0.026974,pentatonic_balanced,0.030225,objective_score,full controlled,A6 minus A5,0.000000,1500
0.010260,-0.000231,pentatonic_balanced,0.005068,cpr,full controlled,A6 minus A5,0.066000,1500
0.154667,0.098667,pentatonic_balanced,0.126000,longest_repeat_run,full controlled,A6 minus A5,0.000000,1500
-0.007807,-0.030995,pentatonic_balanced,-0.019908,repetition_score,full controlled,A6 minus A5,0.000000,1500
0.097655,0.083779,pentatonic_balanced,0.090796,duration_match_ratio,full controlled,A6 minus A5,0.000000,1500
-0.398295,-0.462975,pentatonic_balanced,-0.430089,duration_error_sec,full controlled,A6 minus A5,0.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,psr,full controlled,A6 minus A5,1.000000,1500
0.034013,0.015698,pentatonic_balanced,0.024272,strong_beat_stable_rate,full controlled,A6 minus A5,0.000000,1500
0.274868,0.251432,pentatonic_balanced,0.262733,cadence_score,full controlled,A6 minus A5,0.000000,1500
0.028319,0.021153,pentatonic_balanced,0.024552,qualified_rhythm_rate,full controlled,A6 minus A5,0.000000,1500
0.015998,0.004811,pentatonic_conservative,0.010443,objective_score,prompt cleaning,A1 minus A0,0.000000,1500
-0.007623,-0.040162,pentatonic_conservative,-0.023670,cpr,prompt cleaning,A1 minus A0,0.000000,1500
0.150067,-0.892033,pentatonic_conservative,-0.363333,longest_repeat_run,prompt cleaning,A1 minus A0,0.168000,1500
0.068845,0.022903,pentatonic_conservative,0.046495,repetition_score,prompt cleaning,A1 minus A0,0.000000,1500
0.016001,0.002254,pentatonic_conservative,0.008688,duration_match_ratio,prompt cleaning,A1 minus A0,0.012000,1500
